section,subsection,function_name,parameters,description,source_url
Series,Computations / descriptive stats,Series.clip,"[lower, upper, axis, inplace]",Trim values at input threshold(s).,https://pandas.pydata.org/docs/reference/api/pandas.Series.clip.html
Series,Computations / descriptive stats,Series.corr,"other[, method, min_periods]","Compute correlation with other Series, excluding missing values.",https://pandas.pydata.org/docs/reference/api/pandas.Series.corr.html
Series,Computations / descriptive stats,Series.count,,Return number of non-NA/null observations in the Series.,https://pandas.pydata.org/docs/reference/api/pandas.Series.count.html
Series,Computations / descriptive stats,Series.cov,"other[, min_periods, ddof]","Compute covariance with Series, excluding missing values.",https://pandas.pydata.org/docs/reference/api/pandas.Series.cov.html
Series,Computations / descriptive stats,Series.cummax,"[axis, skipna]",Return cumulative maximum over a Series.,https://pandas.pydata.org/docs/reference/api/pandas.Series.cummax.html
Series,Computations / descriptive stats,Series.cummin,"[axis, skipna]",Return cumulative minimum over a Series.,https://pandas.pydata.org/docs/reference/api/pandas.Series.cummin.html
Series,Computations / descriptive stats,Series.cumprod,"[axis, skipna]",Return cumulative product over a Series.,https://pandas.pydata.org/docs/reference/api/pandas.Series.cumprod.html
Series,Computations / descriptive stats,Series.cumsum,"[axis, skipna]",Return cumulative sum over a Series.,https://pandas.pydata.org/docs/reference/api/pandas.Series.cumsum.html
Series,Computations / descriptive stats,Series.describe,"[percentiles, include, exclude]",Generate descriptive statistics.,https://pandas.pydata.org/docs/reference/api/pandas.Series.describe.html
Series,Computations / descriptive stats,Series.diff,[periods],First discrete difference of Series elements.,https://pandas.pydata.org/docs/reference/api/pandas.Series.diff.html
Series,Computations / descriptive stats,Series.factorize,"[sort, use_na_sentinel]",Encode the object as an enumerated type or categorical variable.,https://pandas.pydata.org/docs/reference/api/pandas.Series.factorize.html
Series,Computations / descriptive stats,Series.kurt,"*[, axis, skipna, numeric_only]",Return unbiased kurtosis over requested axis.,https://pandas.pydata.org/docs/reference/api/pandas.Series.kurt.html
Series,Computations / descriptive stats,Series.max,"*[, axis, skipna, numeric_only]",Return the maximum of the values over the requested axis.,https://pandas.pydata.org/docs/reference/api/pandas.Series.max.html
Series,Computations / descriptive stats,Series.mean,"*[, axis, skipna, numeric_only]",Return the mean of the values over the requested axis.,https://pandas.pydata.org/docs/reference/api/pandas.Series.mean.html
Series,Computations / descriptive stats,Series.median,"*[, axis, skipna, numeric_only]",Return the median of the values over the requested axis.,https://pandas.pydata.org/docs/reference/api/pandas.Series.median.html
Series,Computations / descriptive stats,Series.min,"*[, axis, skipna, numeric_only]",Return the minimum of the values over the requested axis.,https://pandas.pydata.org/docs/reference/api/pandas.Series.min.html
Series,Computations / descriptive stats,Series.mode,[dropna],Return the mode(s) of the Series.,https://pandas.pydata.org/docs/reference/api/pandas.Series.mode.html
Series,Computations / descriptive stats,Series.nlargest,"[n, keep]",Return the largest n elements.,https://pandas.pydata.org/docs/reference/api/pandas.Series.nlargest.html
Series,Computations / descriptive stats,Series.nsmallest,"[n, keep]",Return the smallest n elements.,https://pandas.pydata.org/docs/reference/api/pandas.Series.nsmallest.html
Series,Computations / descriptive stats,Series.pct_change,"[periods, fill_method, freq]",Fractional change between the current and a prior element.,https://pandas.pydata.org/docs/reference/api/pandas.Series.pct_change.html
Series,Computations / descriptive stats,Series.prod,"*[, axis, skipna, numeric_only, ...]",Return the product of the values over the requested axis.,https://pandas.pydata.org/docs/reference/api/pandas.Series.prod.html
Series,Computations / descriptive stats,Series.quantile,"[q, interpolation]",Return value at the given quantile.,https://pandas.pydata.org/docs/reference/api/pandas.Series.quantile.html
Series,Computations / descriptive stats,Series.rank,"[axis, method, numeric_only, ...]",Compute numerical data ranks (1 through n) along axis.,https://pandas.pydata.org/docs/reference/api/pandas.Series.rank.html
Series,Computations / descriptive stats,Series.sem,"*[, axis, skipna, ddof, numeric_only]",Return unbiased standard error of the mean over requested axis.,https://pandas.pydata.org/docs/reference/api/pandas.Series.sem.html
Series,Computations / descriptive stats,Series.skew,"*[, axis, skipna, numeric_only]",Return unbiased skew over requested axis.,https://pandas.pydata.org/docs/reference/api/pandas.Series.skew.html
Series,Computations / descriptive stats,Series.std,"*[, axis, skipna, ddof, numeric_only]",Return sample standard deviation.,https://pandas.pydata.org/docs/reference/api/pandas.Series.std.html
Series,Computations / descriptive stats,Series.sum,"*[, axis, skipna, numeric_only, ...]",Return the sum of the values over the requested axis.,https://pandas.pydata.org/docs/reference/api/pandas.Series.sum.html
Series,Computations / descriptive stats,Series.var,"*[, axis, skipna, ddof, numeric_only]",Return unbiased variance over requested axis.,https://pandas.pydata.org/docs/reference/api/pandas.Series.var.html
Series,Computations / descriptive stats,Series.kurtosis,"*[, axis, skipna, numeric_only]",Return unbiased kurtosis over requested axis.,https://pandas.pydata.org/docs/reference/api/pandas.Series.kurtosis.html
Series,Computations / descriptive stats,Series.unique,,Return unique values of Series object.,https://pandas.pydata.org/docs/reference/api/pandas.Series.unique.html
Series,Computations / descriptive stats,Series.nunique,[dropna],Return number of unique elements in the object.,https://pandas.pydata.org/docs/reference/api/pandas.Series.nunique.html
Series,Computations / descriptive stats,Series.is_unique,,Return True if values in the object are unique.,https://pandas.pydata.org/docs/reference/api/pandas.Series.is_unique.html
Series,Computations / descriptive stats,Series.is_monotonic_increasing,,Return True if values in the object are monotonically increasing.,https://pandas.pydata.org/docs/reference/api/pandas.Series.is_monotonic_increasing.html
Series,Computations / descriptive stats,Series.is_monotonic_decreasing,,Return True if values in the object are monotonically decreasing.,https://pandas.pydata.org/docs/reference/api/pandas.Series.is_monotonic_decreasing.html
Series,Computations / descriptive stats,Series.value_counts,"[normalize, sort, ...]",Return a Series containing counts of unique values.,https://pandas.pydata.org/docs/reference/api/pandas.Series.value_counts.html
Series,Reindexing / selection / label manipulation,Series.align,"other[, join, axis, level, ...]",Align two objects on their axes with the specified join method.,https://pandas.pydata.org/docs/reference/api/pandas.Series.align.html
Series,Reindexing / selection / label manipulation,Series.case_when,caselist,Replace values where the conditions are True.,https://pandas.pydata.org/docs/reference/api/pandas.Series.case_when.html
Series,Reindexing / selection / label manipulation,Series.drop,"[labels, axis, index, columns, ...]",Return Series with specified index labels removed.,https://pandas.pydata.org/docs/reference/api/pandas.Series.drop.html
Series,Reindexing / selection / label manipulation,Series.droplevel,"level[, axis]",Return Series/DataFrame with requested index / column level(s) removed.,https://pandas.pydata.org/docs/reference/api/pandas.Series.droplevel.html
Series,Reindexing / selection / label manipulation,Series.drop_duplicates,"*[, keep, inplace, ...]",Return Series with duplicate values removed.,https://pandas.pydata.org/docs/reference/api/pandas.Series.drop_duplicates.html
Series,Reindexing / selection / label manipulation,Series.duplicated,[keep],Indicate duplicate Series values.,https://pandas.pydata.org/docs/reference/api/pandas.Series.duplicated.html
Series,Reindexing / selection / label manipulation,Series.equals,other,Test whether two objects contain the same elements.,https://pandas.pydata.org/docs/reference/api/pandas.Series.equals.html
Series,Reindexing / selection / label manipulation,Series.head,[n],Return the first n rows.,https://pandas.pydata.org/docs/reference/api/pandas.Series.head.html
Series,Reindexing / selection / label manipulation,Series.idxmax,"[axis, skipna]",Return the row label of the maximum value.,https://pandas.pydata.org/docs/reference/api/pandas.Series.idxmax.html
Series,Reindexing / selection / label manipulation,Series.idxmin,"[axis, skipna]",Return the row label of the minimum value.,https://pandas.pydata.org/docs/reference/api/pandas.Series.idxmin.html
Series,Reindexing / selection / label manipulation,Series.isin,values,Whether elements in Series are contained in values .,https://pandas.pydata.org/docs/reference/api/pandas.Series.isin.html
Series,Reindexing / selection / label manipulation,Series.reindex,"[index, axis, method, copy, ...]",Conform Series to new index with optional filling logic.,https://pandas.pydata.org/docs/reference/api/pandas.Series.reindex.html
Series,Reindexing / selection / label manipulation,Series.reindex_like,"other[, method, copy, ...]",Return an object with matching indices as other object.,https://pandas.pydata.org/docs/reference/api/pandas.Series.reindex_like.html
Series,Reindexing / selection / label manipulation,Series.rename,"[index, axis, copy, inplace, ...]",Alter Series index labels or name.,https://pandas.pydata.org/docs/reference/api/pandas.Series.rename.html
Series,Reindexing / selection / label manipulation,Series.rename_axis,"[mapper, index, axis, ...]",Set the name of the axis for the index.,https://pandas.pydata.org/docs/reference/api/pandas.Series.rename_axis.html
Series,Reindexing / selection / label manipulation,Series.reset_index,"[level, drop, name, ...]",Generate a new DataFrame or Series with the index reset.,https://pandas.pydata.org/docs/reference/api/pandas.Series.reset_index.html
Series,Reindexing / selection / label manipulation,Series.sample,"[n, frac, replace, weights, ...]",Return a random sample of items from an axis of object.,https://pandas.pydata.org/docs/reference/api/pandas.Series.sample.html
Series,Reindexing / selection / label manipulation,Series.set_axis,"labels, *[, axis, copy]",(DEPRECATED) Assign desired index to given axis.,https://pandas.pydata.org/docs/reference/api/pandas.Series.set_axis.html
Series,Reindexing / selection / label manipulation,Series.take,"indices[, axis]",Return the elements in the given positional indices along an axis.,https://pandas.pydata.org/docs/reference/api/pandas.Series.take.html
Series,Reindexing / selection / label manipulation,Series.tail,[n],Return the last n rows.,https://pandas.pydata.org/docs/reference/api/pandas.Series.tail.html
Series,Reindexing / selection / label manipulation,Series.truncate,"[before, after, axis, copy]",Truncate a Series or DataFrame before and after some index value.,https://pandas.pydata.org/docs/reference/api/pandas.Series.truncate.html
Series,Reindexing / selection / label manipulation,Series.where,"cond[, other, inplace, axis, level]",Replace values where the condition is False.,https://pandas.pydata.org/docs/reference/api/pandas.Series.where.html
Series,Reindexing / selection / label manipulation,Series.mask,"cond[, other, inplace, axis, level]",Replace values where the condition is True.,https://pandas.pydata.org/docs/reference/api/pandas.Series.mask.html
Series,Reindexing / selection / label manipulation,Series.add_prefix,"prefix[, axis]",Prefix labels with string prefix .,https://pandas.pydata.org/docs/reference/api/pandas.Series.add_prefix.html
Series,Reindexing / selection / label manipulation,Series.add_suffix,"suffix[, axis]",Suffix labels with string suffix .,https://pandas.pydata.org/docs/reference/api/pandas.Series.add_suffix.html
Series,Reindexing / selection / label manipulation,Series.filter,"[items, like, regex, axis]",Subset the DataFrame or Series according to the specified index labels.,https://pandas.pydata.org/docs/reference/api/pandas.Series.filter.html
Series,Missing data handling,Series.bfill,"*[, axis, inplace, limit, ...]",Fill NA/NaN values by using the next valid observation to fill the gap.,https://pandas.pydata.org/docs/reference/api/pandas.Series.bfill.html
Series,Missing data handling,Series.dropna,"*[, axis, inplace, how, ...]",Return a new Series with missing values removed.,https://pandas.pydata.org/docs/reference/api/pandas.Series.dropna.html
Series,Missing data handling,Series.ffill,"*[, axis, inplace, limit, ...]",Fill NA/NaN values by propagating the last valid observation to next valid.,https://pandas.pydata.org/docs/reference/api/pandas.Series.ffill.html
Series,Missing data handling,Series.fillna,"value, *[, axis, inplace, limit]",Fill NA/NaN values with value .,https://pandas.pydata.org/docs/reference/api/pandas.Series.fillna.html
Series,Missing data handling,Series.interpolate,"[method, axis, limit, ...]",Fill NaN values using an interpolation method.,https://pandas.pydata.org/docs/reference/api/pandas.Series.interpolate.html
Series,Missing data handling,Series.isna,,Detect missing values.,https://pandas.pydata.org/docs/reference/api/pandas.Series.isna.html
Series,Missing data handling,Series.isnull,,Series.isnull is an alias for Series.isna.,https://pandas.pydata.org/docs/reference/api/pandas.Series.isnull.html
Series,Missing data handling,Series.notna,,Detect existing (non-missing) values.,https://pandas.pydata.org/docs/reference/api/pandas.Series.notna.html
Series,Missing data handling,Series.notnull,,Series.notnull is an alias for Series.notna.,https://pandas.pydata.org/docs/reference/api/pandas.Series.notnull.html
Series,Missing data handling,Series.replace,"[to_replace, value, inplace, ...]",Replace values given in to_replace with value .,https://pandas.pydata.org/docs/reference/api/pandas.Series.replace.html
Series,"Reshaping, sorting",Series.argsort,"[axis, kind, order, stable]",Return the integer indices that would sort the Series values.,https://pandas.pydata.org/docs/reference/api/pandas.Series.argsort.html
Series,"Reshaping, sorting",Series.argmin,"[axis, skipna]",Return int position of the smallest value in the Series.,https://pandas.pydata.org/docs/reference/api/pandas.Series.argmin.html
Series,"Reshaping, sorting",Series.argmax,"[axis, skipna]",Return int position of the largest value in the Series.,https://pandas.pydata.org/docs/reference/api/pandas.Series.argmax.html
Series,"Reshaping, sorting",Series.reorder_levels,order,Rearrange index levels using input order.,https://pandas.pydata.org/docs/reference/api/pandas.Series.reorder_levels.html
Series,"Reshaping, sorting",Series.sort_values,"*[, axis, ascending, ...]",Sort by the values.,https://pandas.pydata.org/docs/reference/api/pandas.Series.sort_values.html
Series,"Reshaping, sorting",Series.sort_index,"*[, axis, level, ...]",Sort Series by index labels.,https://pandas.pydata.org/docs/reference/api/pandas.Series.sort_index.html
Series,"Reshaping, sorting",Series.swaplevel,"[i, j, copy]",Swap levels i and j in a MultiIndex .,https://pandas.pydata.org/docs/reference/api/pandas.Series.swaplevel.html
Series,"Reshaping, sorting",Series.unstack,"[level, fill_value, sort]","Unstack, also known as pivot, Series with MultiIndex to produce DataFrame.",https://pandas.pydata.org/docs/reference/api/pandas.Series.unstack.html
Series,"Reshaping, sorting",Series.explode,[ignore_index],Transform each element of a list-like to a row.,https://pandas.pydata.org/docs/reference/api/pandas.Series.explode.html
Series,"Reshaping, sorting",Series.searchsorted,"value[, side, sorter]",Find indices where elements should be inserted to maintain order.,https://pandas.pydata.org/docs/reference/api/pandas.Series.searchsorted.html
Series,"Reshaping, sorting",Series.repeat,"repeats[, axis]",Repeat elements of a Series.,https://pandas.pydata.org/docs/reference/api/pandas.Series.repeat.html
Series,"Reshaping, sorting",Series.squeeze,[axis],Squeeze 1 dimensional axis objects into scalars.,https://pandas.pydata.org/docs/reference/api/pandas.Series.squeeze.html
Series,Combining / comparing / joining / merging,Series.compare,"other[, align_axis, ...]",Compare to another Series and show the differences.,https://pandas.pydata.org/docs/reference/api/pandas.Series.compare.html
Series,Combining / comparing / joining / merging,Series.update,other,Modify Series in place using values from passed Series.,https://pandas.pydata.org/docs/reference/api/pandas.Series.update.html
Series,Time Series-related,Series.asfreq,"freq[, method, how, ...]",Convert time series to specified frequency.,https://pandas.pydata.org/docs/reference/api/pandas.Series.asfreq.html
Series,Time Series-related,Series.asof,"where[, subset]",Return the last row(s) without any NaNs before where .,https://pandas.pydata.org/docs/reference/api/pandas.Series.asof.html
Series,Time Series-related,Series.shift,"[periods, freq, axis, ...]",Shift index by desired number of periods with an optional time freq .,https://pandas.pydata.org/docs/reference/api/pandas.Series.shift.html
Series,Time Series-related,Series.first_valid_index,,"Return index for first non-missing value or None, if no value is found.",https://pandas.pydata.org/docs/reference/api/pandas.Series.first_valid_index.html
Series,Time Series-related,Series.last_valid_index,,"Return index for last non-missing value or None, if no value is found.",https://pandas.pydata.org/docs/reference/api/pandas.Series.last_valid_index.html
Series,Time Series-related,Series.resample,"rule[, closed, label, ...]",Resample time-series data.,https://pandas.pydata.org/docs/reference/api/pandas.Series.resample.html
Series,Time Series-related,Series.tz_convert,"tz[, axis, level, copy]",Convert tz-aware axis to target time zone.,https://pandas.pydata.org/docs/reference/api/pandas.Series.tz_convert.html
Series,Time Series-related,Series.tz_localize,"tz[, axis, level, copy, ...]",Localize time zone naive index of a Series or DataFrame to target time zone.,https://pandas.pydata.org/docs/reference/api/pandas.Series.tz_localize.html
Series,Time Series-related,Series.at_time,"time[, asof, axis]","Select values at particular time of day (e.g., 9:30AM).",https://pandas.pydata.org/docs/reference/api/pandas.Series.at_time.html
Series,Time Series-related,Series.between_time,"start_time, end_time[, ...]","Select values between particular times of the day (e.g., 9:00-9:30 AM).",https://pandas.pydata.org/docs/reference/api/pandas.Series.between_time.html
Series,Accessors,Series.str,,,https://pandas.pydata.org/docs/reference/api/pandas.Series.str.html
Series,Accessors,Series.cat,,,https://pandas.pydata.org/docs/reference/api/pandas.Series.cat.html
Series,Accessors,Series.dt,,,https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.html
Series,Accessors,Series.sparse,,,https://pandas.pydata.org/docs/reference/api/pandas.Series.sparse.html
Series,Accessors,DataFrame.sparse,,,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.sparse.html
Series,Accessors,Index.str,,,https://pandas.pydata.org/docs/reference/api/pandas.Index.str.html
Series,Datetimelike properties,Series.dt.date,,Returns numpy array of python datetime.date objects.,https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.date.html
Series,Datetimelike properties,Series.dt.time,,Returns numpy array of datetime.time objects.,https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.time.html
Series,Datetimelike properties,Series.dt.timetz,,Returns numpy array of datetime.time objects with timezones.,https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.timetz.html
Series,Datetimelike properties,Series.dt.year,,The year of the datetime.,https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.year.html
Series,Datetimelike properties,Series.dt.month,,"The month as January=1, December=12.",https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.month.html
Series,Datetimelike properties,Series.dt.day,,The day of the datetime.,https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.day.html
Series,Datetimelike properties,Series.dt.hour,,The hours of the datetime.,https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.hour.html
Series,Datetimelike properties,Series.dt.minute,,The minutes of the datetime.,https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.minute.html
Series,Datetimelike properties,Series.dt.second,,The seconds of the datetime.,https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.second.html
Series,Datetimelike properties,Series.dt.microsecond,,The microseconds of the datetime.,https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.microsecond.html
Series,Datetimelike properties,Series.dt.nanosecond,,The nanoseconds of the datetime.,https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.nanosecond.html
Series,Datetimelike properties,Series.dt.dayofweek,,"The day of the week with Monday=0, Sunday=6.",https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.dayofweek.html
Series,Datetimelike properties,Series.dt.day_of_week,,"The day of the week with Monday=0, Sunday=6.",https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.day_of_week.html
Series,Datetimelike properties,Series.dt.weekday,,"The day of the week with Monday=0, Sunday=6.",https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.weekday.html
Series,Datetimelike properties,Series.dt.dayofyear,,The ordinal day of the year.,https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.dayofyear.html
Series,Datetimelike properties,Series.dt.day_of_year,,The ordinal day of the year.,https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.day_of_year.html
Series,Datetimelike properties,Series.dt.days_in_month,,The number of days in the month.,https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.days_in_month.html
Series,Datetimelike properties,Series.dt.quarter,,The quarter of the date.,https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.quarter.html
Series,Datetimelike properties,Series.dt.is_month_start,,Indicates whether the date is the first day of the month.,https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.is_month_start.html
Series,Datetimelike properties,Series.dt.is_month_end,,Indicates whether the date is the last day of the month.,https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.is_month_end.html
Series,Datetimelike properties,Series.dt.is_quarter_start,,Indicator for whether the date is the first day of a quarter.,https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.is_quarter_start.html
Series,Datetimelike properties,Series.dt.is_quarter_end,,Indicator for whether the date is the last day of a quarter.,https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.is_quarter_end.html
Series,Datetimelike properties,Series.dt.is_year_start,,Indicate whether the date is the first day of a year.,https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.is_year_start.html
Series,Datetimelike properties,Series.dt.is_year_end,,Indicate whether the date is the last day of the year.,https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.is_year_end.html
Series,Datetimelike properties,Series.dt.is_leap_year,,Boolean indicator if the date belongs to a leap year.,https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.is_leap_year.html
Series,Datetimelike properties,Series.dt.daysinmonth,,The number of days in the month.,https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.daysinmonth.html
Series,Datetimelike properties,Series.dt.days_in_month,,The number of days in the month.,https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.days_in_month.html
Series,Datetimelike properties,Series.dt.tz,,Return the timezone.,https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.tz.html
Series,Datetimelike properties,Series.dt.freq,,Tries to return a string representing a frequency generated by infer_freq.,https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.freq.html
Series,Datetimelike properties,Series.dt.unit,,The precision unit of the datetime data.,https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.unit.html
Series,Datetimelike properties,Series.dt.isocalendar,,"Calculate year, week, and day according to the ISO 8601 standard.",https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.isocalendar.html
Series,Datetimelike properties,Series.dt.to_period,[freq],Cast to PeriodArray/PeriodIndex at a particular frequency.,https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.to_period.html
Series,Datetimelike properties,Series.dt.to_pydatetime,,Return the data as a Series of datetime.datetime objects.,https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.to_pydatetime.html
Series,Datetimelike properties,Series.dt.tz_localize,"tz[, ambiguous, ...]",Localize tz-naive Datetime Array/Index to tz-aware Datetime Array/Index.,https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.tz_localize.html
Series,Datetimelike properties,Series.dt.tz_convert,tz,Convert tz-aware Datetime Array/Index from one time zone to another.,https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.tz_convert.html
Series,Datetimelike properties,Series.dt.normalize,,Convert times to midnight.,https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.normalize.html
Series,Datetimelike properties,Series.dt.strftime,date_format,Convert to Index using specified date_format.,https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.strftime.html
Series,Datetimelike properties,Series.dt.round,"freq[, ambiguous, nonexistent]",Perform round operation on the data to the specified freq .,https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.round.html
Series,Datetimelike properties,Series.dt.floor,"freq[, ambiguous, nonexistent]",Perform floor operation on the data to the specified freq .,https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.floor.html
Series,Datetimelike properties,Series.dt.ceil,"freq[, ambiguous, nonexistent]",Perform ceil operation on the data to the specified freq .,https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.ceil.html
Series,Datetimelike properties,Series.dt.month_name,[locale],Return the month names with specified locale.,https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.month_name.html
Series,Datetimelike properties,Series.dt.day_name,[locale],Return the day names with specified locale.,https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.day_name.html
Series,Datetimelike properties,Series.dt.as_unit,"unit[, round_ok]",Convert to a dtype with the given unit resolution.,https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.as_unit.html
Series,Datetimelike properties,Series.dt.qyear,,Fiscal year the Period lies in according to its starting-quarter.,https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.qyear.html
Series,Datetimelike properties,Series.dt.start_time,,Get the Timestamp for the start of the period.,https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.start_time.html
Series,Datetimelike properties,Series.dt.end_time,,Get the Timestamp for the end of the period.,https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.end_time.html
Series,Datetimelike properties,Series.dt.days,,Number of days for each element.,https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.days.html
Series,Datetimelike properties,Series.dt.seconds,,Number of seconds (>= 0 and less than 1 day) for each element.,https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.seconds.html
Series,Datetimelike properties,Series.dt.microseconds,,Number of microseconds (>= 0 and less than 1 second) for each element.,https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.microseconds.html
Series,Datetimelike properties,Series.dt.nanoseconds,,Number of nanoseconds (>= 0 and less than 1 microsecond) for each element.,https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.nanoseconds.html
Series,Datetimelike properties,Series.dt.components,,Return a Dataframe of the components of the Timedeltas.,https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.components.html
Series,Datetimelike properties,Series.dt.unit,,The precision unit of the datetime data.,https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.unit.html
Series,Datetimelike properties,Series.dt.to_pytimedelta,,Return an array of native datetime.timedelta objects.,https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.to_pytimedelta.html
Series,Datetimelike properties,Series.dt.total_seconds,,Return total duration of each element expressed in seconds.,https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.total_seconds.html
Series,Datetimelike properties,Series.dt.as_unit,"unit[, round_ok]",Convert to a dtype with the given unit resolution.,https://pandas.pydata.org/docs/reference/api/pandas.Series.dt.as_unit.html
Series,String handling,Series.str.capitalize,,Convert strings in the Series/Index to be capitalized.,https://pandas.pydata.org/docs/reference/api/pandas.Series.str.capitalize.html
Series,String handling,Series.str.casefold,,Convert strings in the Series/Index to be casefolded.,https://pandas.pydata.org/docs/reference/api/pandas.Series.str.casefold.html
Series,String handling,Series.str.cat,"[others, sep, na_rep, join]",Concatenate strings in the Series/Index with given separator.,https://pandas.pydata.org/docs/reference/api/pandas.Series.str.cat.html
Series,String handling,Series.str.center,"width[, fillchar]",Pad left and right side of strings in the Series/Index.,https://pandas.pydata.org/docs/reference/api/pandas.Series.str.center.html
Series,String handling,Series.str.contains,"pat[, case, flags, na, ...]",Test if pattern or regex is contained within a string of a Series or Index.,https://pandas.pydata.org/docs/reference/api/pandas.Series.str.contains.html
Series,String handling,Series.str.count,"pat[, flags]",Count occurrences of pattern in each string of the Series/Index.,https://pandas.pydata.org/docs/reference/api/pandas.Series.str.count.html
Series,String handling,Series.str.decode,"encoding[, errors, dtype]",Decode character string in the Series/Index using indicated encoding.,https://pandas.pydata.org/docs/reference/api/pandas.Series.str.decode.html
Series,String handling,Series.str.encode,"encoding[, errors]",Encode character string in the Series/Index using indicated encoding.,https://pandas.pydata.org/docs/reference/api/pandas.Series.str.encode.html
Series,String handling,Series.str.endswith,"pat[, na]",Test if the end of each string element matches a pattern.,https://pandas.pydata.org/docs/reference/api/pandas.Series.str.endswith.html
Series,String handling,Series.str.extract,"pat[, flags, expand]",Extract capture groups in the regex pat as columns in a DataFrame.,https://pandas.pydata.org/docs/reference/api/pandas.Series.str.extract.html
Series,String handling,Series.str.extractall,"pat[, flags]",Extract capture groups in the regex pat as columns in DataFrame.,https://pandas.pydata.org/docs/reference/api/pandas.Series.str.extractall.html
Series,String handling,Series.str.find,"sub[, start, end]",Return lowest indexes in each strings in the Series/Index.,https://pandas.pydata.org/docs/reference/api/pandas.Series.str.find.html
Series,String handling,Series.str.findall,"pat[, flags]",Find all occurrences of pattern or regular expression in the Series/Index.,https://pandas.pydata.org/docs/reference/api/pandas.Series.str.findall.html
Series,String handling,Series.str.fullmatch,"pat[, case, flags, na]",Determine if each string entirely matches a regular expression.,https://pandas.pydata.org/docs/reference/api/pandas.Series.str.fullmatch.html
Series,String handling,Series.str.get,i,Extract element from each component at specified position or with specified key.,https://pandas.pydata.org/docs/reference/api/pandas.Series.str.get.html
Series,String handling,Series.str.index,"sub[, start, end]",Return lowest indexes in each string in Series/Index.,https://pandas.pydata.org/docs/reference/api/pandas.Series.str.index.html
Series,String handling,Series.str.isascii,,Check whether all characters in each string are ascii.,https://pandas.pydata.org/docs/reference/api/pandas.Series.str.isascii.html
Series,String handling,Series.str.join,sep,Join lists contained as elements in the Series/Index with passed delimiter.,https://pandas.pydata.org/docs/reference/api/pandas.Series.str.join.html
Series,String handling,Series.str.len,,Compute the length of each element in the Series/Index.,https://pandas.pydata.org/docs/reference/api/pandas.Series.str.len.html
Series,String handling,Series.str.ljust,"width[, fillchar]",Pad right side of strings in the Series/Index.,https://pandas.pydata.org/docs/reference/api/pandas.Series.str.ljust.html
